"Model Identifier","Model Name"
"BeatsStudioPro1,1","Beats Studio Pro Atlanta United FC Edition OR Beats Studio Pro Columbus Crew Edition OR Beats Studio Pro fragment design Edition OR Beats Studio Pro Kim K Edition OR Beats Studio Pro Los Angeles FC Edition OR Beats Studio Pro Inter Miami CF Edition OR Beats Studio Pro Nashville SC Edition OR Beats Studio Pro New York City FC Edition OR Beats Studio Pro St. Louis City SC Edition OR Beats Studio Pro Stüssy Edition OR Beats Studio Pro Toronto FC Edition OR Beats Studio Pro WINDOWSEN Edition OR Beats Studio Pro"
"BeatsX1,1","Beatsˣ sacai Edition OR Beatsˣ UNDEFEATED Edition OR Beatsˣ"
"BeatsX2,1","Beats Flex"
"ComputeModule13,1","Private Cloud Compute Node"
"ComputeModule13,3","Private Cloud Compute Node"
"ComputeModule13,5","Private Cloud Compute Baseboard Management Controller"
"ComputeModule14,1","Private Cloud Compute Node"
"ComputeModule14,2","Apple PCC Research Environment Virtual Machine 1"
"Device1,9728","Beats Pill+ Devin Booker Edition OR Beats Pill+ FaZe Clan Edition OR Beats Pill+ Field Trip Recordings Edition OR Beats Pill+ KAR AUDIO SYSTEM Edition OR Beats Pill+ KITH Edition OR Beats Pill+ Madhappy Edition OR Beats Pill+ Quai 54 Edition OR Beats Pill+ Stüssy Edition OR Beats Pill+ The Malbons Edition OR Beats Pill+ UNDEFEATED Edition OR Beats Pill+"
"Mac13,1","Mac Studio (M1 Max)"
"Mac13,2","Mac Studio (M1 Ultra)"
"Mac14,10","MacBook Pro (16-inch, M2 Pro, 2023)"
"Mac14,12","Mac mini (M2 Pro, 2023)"
"Mac14,13","Mac Studio (M2 Max, 2023)"
"Mac14,14","Mac Studio (M2 Ultra, 2023)"
"Mac14,15","MacBook Air (15-inch, M2, 2023)"
"Mac14,2","MacBook Air (M2, 2022)"
"Mac14,3","Mac mini (M2, 2023)"
"Mac14,5","MacBook Pro (14-inch, M2 Max 2023)"
"Mac14,6","MacBook Pro (16-inch, M2 Max, 2023)"
"Mac14,7","MacBook Pro (13-inch, M2, 2022)"
"Mac14,8","Mac Pro (Rack, 2023) OR Mac Pro (2023)"
"Mac14,9","MacBook Pro (14-inch, M2 Pro, 2023)"
"Mac15,10","MacBook Pro (14-inch, 14-core M3 Max, Nov 2023)"
"Mac15,11","MacBook Pro (16-inch, 14-core M3 Max, Nov 2023)"
"Mac15,12","MacBook Air (13-inch, M3, 2024)"
"Mac15,13","MacBook Air (15-inch, M3, 2024)"
"Mac15,14","Mac Studio (M3 Ultra, 2025)"
"Mac15,3","MacBook Pro (14-inch, M3, Nov 2023)"
"Mac15,4","iMac (24-inch, M3, 2023, Two Ports)"
"Mac15,5","iMac (24-inch, M3, 2023, Four Ports)"
"Mac15,6","MacBook Pro (14-inch, M3 Pro, Nov 2023)"
"Mac15,7","MacBook Pro (16-inch, M3 Pro, Nov 2023)"
"Mac15,8","MacBook Pro (14-inch, 16-core M3 Max, Nov 2023)"
"Mac15,9","MacBook Pro (16-inch, 16-core M3 Max, Nov 2023)"
"Mac16,1","MacBook Pro (14-inch, M4, Nov 2024)"
"Mac16,10","Mac mini (M4, 2024)"
"Mac16,11","Mac mini (M4 Pro, 2024)"
"Mac16,12","MacBook Air (13-inch, M4, 2025)"
"Mac16,13","MacBook Air (15-inch, M4, 2025)"
"Mac16,2","iMac (24-inch, M4, 2024, Two Ports)"
"Mac16,3","iMac (24-inch, M4, 2024, Four Ports)"
"Mac16,5","MacBook Pro (16-inch, M4 Max, Nov 2024)"
"Mac16,6","MacBook Pro (14-inch, M4 Max, Nov 2024)"
"Mac16,7","MacBook Pro (16-inch, M4 Pro, Nov 2024)"
